stimulus,name,gender,a/an,masked_role,state,variants
Michael is an [MASK] from California,Michael,man,an,[MASK],California,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from California,Michael,man,a,camera [MASK],California,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from California,Michael,man,a,fire [MASK],California,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from California,Michael,man,a,[MASK],California,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from California,Michael,man,a,lay [MASK],California,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from California,Michael,man,a,stunt [MASK],California,"['double', '##man', '##woman']"
Michael is an [MASK] from Alabama,Michael,man,an,[MASK],Alabama,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Alabama,Michael,man,a,camera [MASK],Alabama,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Alabama,Michael,man,a,fire [MASK],Alabama,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Alabama,Michael,man,a,[MASK],Alabama,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Alabama,Michael,man,a,lay [MASK],Alabama,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Alabama,Michael,man,a,stunt [MASK],Alabama,"['double', '##man', '##woman']"
Michael is an [MASK] from Alaska,Michael,man,an,[MASK],Alaska,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Alaska,Michael,man,a,camera [MASK],Alaska,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Alaska,Michael,man,a,fire [MASK],Alaska,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Alaska,Michael,man,a,[MASK],Alaska,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Alaska,Michael,man,a,lay [MASK],Alaska,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Alaska,Michael,man,a,stunt [MASK],Alaska,"['double', '##man', '##woman']"
Michael is an [MASK] from Arizona,Michael,man,an,[MASK],Arizona,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Arizona,Michael,man,a,camera [MASK],Arizona,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Arizona,Michael,man,a,fire [MASK],Arizona,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Arizona,Michael,man,a,[MASK],Arizona,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Arizona,Michael,man,a,lay [MASK],Arizona,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Arizona,Michael,man,a,stunt [MASK],Arizona,"['double', '##man', '##woman']"
Michael is an [MASK] from Arkansas,Michael,man,an,[MASK],Arkansas,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Arkansas,Michael,man,a,camera [MASK],Arkansas,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Arkansas,Michael,man,a,fire [MASK],Arkansas,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Arkansas,Michael,man,a,[MASK],Arkansas,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Arkansas,Michael,man,a,lay [MASK],Arkansas,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Arkansas,Michael,man,a,stunt [MASK],Arkansas,"['double', '##man', '##woman']"
Michael is an [MASK] from Connecticut,Michael,man,an,[MASK],Connecticut,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Connecticut,Michael,man,a,camera [MASK],Connecticut,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Connecticut,Michael,man,a,fire [MASK],Connecticut,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Connecticut,Michael,man,a,[MASK],Connecticut,"['hero', 'heroine', 'host', 'hostess']"
